File_Name,Name,Grade,Subject,Desc_1,Desc_2,Source_url,
How to Teach Art - wikiHow,How to Teach Art,All,Pedagogy,"There are many ways to teach art, but it?'s generally best to start with fun, easy projects. This step-by-step wikiHow resource will give concrete suggestions for teaching art to young children, high schoolers, and even adults.","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Art,
How to Improve Student Behavior in the Classroom - wikiHow,How to Improve Student Behavior in the Classroom,All,Classroom Behavior,"Oftentimes, students will misbehave when they are not engaged or not motivated. This easy-to-follow wikiHow guide will help you to use positive reinforcements to redirect students' misbehavior.","To explore more on this article, use the following link:",https://www.wikihow.com/Improve-Student-Behavior-in-the-Classroom,
How to Maintain Classroom Discipline - wikiHow,How to Maintain Classroom Discipline,All,Classroom Behavior,Educators learn good classroom discipline strategies through academic preparation and on the job. This trustworthy wikiHow guide will give you basic techniques that you can adapt to best fit the needs of your classroom and get your learning environment under control. ,"To explore more on this article, use the following link:",https://www.wikihow.com/Maintain-Classroom-Discipline,
How to Motivate High School Students - wikiHow,How to Motivate High School Students,"9, 10, 11, 12",Classroom Behavior,"Whether you are a teacher, parent or home-schooling parent, motivating high school students is not always an easy task. This wikiHow guide offers creative techniques to help you motivate and inspire high school students.","To explore more on this article, use the following link:",https://www.wikihow.com/Motivate-High-School-Students,
How to Quiet a Classroom - wikiHow,How to Quiet a Classroom,"1, 2, 3, 4, 5",Classroom Behavior,"Do you dream of having a peaceful, quiet classroom? This wikiHow guide will teach you some tried and true methods of quieting down kids and tailoring your efforts to your student's age range.","To explore more on this article, use the following link:",https://www.wikihow.com/Quiet-a-Classroom,
How to Teach Motivation - wikiHow,How to Teach Motivation,All,Classroom Behavior,"This trustworthy wikiHow guide will give you tools and tips to teach your students motivation by teaching confidence and competence, encouraging active engagement, and helping them to overcome procrastination. ","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Motivation,
How to Teach Debate - wikiHow,How to Teach Debate,"6, 7, 8, 9, 10, 11, 12",Critical Thinking,"Learning how to debate helps students develop critical thinking, language, and teamwork skills. This wikiHow guide will teach you concrete steps to teach debate to your students. ","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Debate,
How to Teach Inferencing - wikiHow,How to Teach Inferencing,"1, 2, 3, 4, 5",Critical Thinking,The ability to make inferences is a foundational critical thinking skill. This wikiHow resource will guide you through teaching inferencing to young students.,"To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Inferencing,
How to Teach Children Impulse Control - wikiHow,How to Teach Children Impulse Control,"1, 2, 3, 4, 5",Early Education,"Children, especially young ones, are known for their spontaneity and unrestrained expressions of their feelings. This step-by-step wikiHow guide will give you tools and strategies to teach impulse control and better maintain classroom discipline. ","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Children-Impulse-Control,
How to Teach Children Prediction Skills - wikiHow,How to Teach Children Prediction Skills,"1, 2, 3, 4, 5",Early Education,"Prediction skills form an important basis for young children learning reading, math, and science. This helpful wikiHow guide will teach you to help children to pick up these skills, by encouraging them to find patterns and make connections in their everyday lives","To explore more on this article, use the following link:",https://www.wikihow.com/Teach-Children-Prediction-Skills,
